Overall Rating,Comments,Feedback Category
Very Satisfied,it did not let me put the code # in had to find school,
Neutral,Looking for more books. Would like a bigger selection to choose from,
Satisfied,Last year I had a lot of difficulty with my order and it taking so long to be delivered.  I am glad to hear that things will be better.,
Very Satisfied,Hoping things are back to normal and quick this year!,
Very Disappointed,"unable to send the digital flyer.  The link says it is copied, but it will not work in SeeSaw",
Satisfied,Just updating information.,
Very Satisfied,"I love these prices, so wonderful to have a resource for affordable books for my kiddo!",
Neutral,It was hard to enter online orders. I did not know what to do. I had to chat with someone to figure out to click on my cart.,
Satisfied,finding where to put in teachers info,
Disappointed,Your website is very hard to maneuver through. It is hard to get back to where you were if you want to continue shopping.,
Very Satisfied,I called in to the phone number to ask some questions and the representative was so helpful. I love ordering scholastic books for my students! :),
Satisfied,it takes a bit to load,
Very Satisfied,I was only on briefly but did not easily see where/how to navigate between the different flyers that my child brought home. I was only able to quickly and easily access the one that I ordered from which happened to have the item that she wanted.,
Very Satisfied,keep up the great work!,
Satisfied,My first time visiting the site and I am having some difficulty find things.,
Very Satisfied,"I'm looking to enable alerts when a parent submits an order, possibly to get sent to my email.  I'll keep looking, but that would be a helpful feature to add if it doesn't exist.  Thank you!",
Very Disappointed,You NEED to have books for one dollar.  LOTS of teachers purchase their own books.,
Satisfied,"No difficulties, I don't think I'm looking at it correct, because I don't feel like I'm seeing all the books offered on this website. When I search a specific book, I find it, but just browsing it's hard to see everything offered.",
Neutral,Missing the physical flyers,
Satisfied,I had trouble determining how include free book info.I eventually got there but it wasn't clear to me,
Neutral,Layout of home page is confusing smallest botton was order here and lead to search engine with inflated prices...lots of extra resources and info up front but  we're here to buy books. Like the flyer feature but could of been easier to find...had to click more than a few times to find what I wanted.,
Very Satisfied,I love Scholastic and so do my parents.,
Disappointed,love books,
Satisfied,Some of the numbers that I entered did not produce the books I was looking for.  Had to type in titles.,
Very Satisfied,I am seeking free books for my Title 1 School's Counseling Library. We are just starting up from ground zero.,
Very Satisfied,will try to get a teacher to join,
Very Satisfied,User friendly and efficient,
Very Satisfied,haegdfysdystdyettyueyrtyuetwuiyer,
Neutral,Would like to see the teacher bonus points catalog better organized,
Very Satisfied,"Glad you are up and running, hopefully delivery will be timely!",
Satisfied,"The code READS would not work at first, after logging out and back in, it worked.",
Very Satisfied,Great website and I love ordering from Scholastic books as a kid.,
Neutral,Need larger variety of books.,
Satisfied,slow to move from one flyer to the next,
Neutral,You just didn't offer the Title I was looking to purchase.,
Very Satisfied,Everything was very easy to order.,
Neutral,"I made a cart last night, planned on adding to it today, and I am logged out. When I try to log in, it scrolls and doesn't connect. Guessing something is not calling for information correctly.",
Very Satisfied,I wish there was a way to easily understand the different flyers there are for each age group.,
Neutral,it was not easy to add the school code - there should be a separate section for it at checkout near a promo code area.,
Satisfied,I would like to be able to send digital flyers via Parent Square and I am not sure how to do that.,
Very Satisfied,great!,
Neutral,Great idea,
Satisfied,I like being able to recommend books for parents.  I get asked that question SO many times.  The class wishlist is nice too.,
Neutral,Had to reset password - not a big deal.,
Satisfied,"Great experience. Easy to use  and fairly painless to search  for , filter, and find books. No complaints. Just note that I usually don't give maximum scores in my reviews if you're questioning why I rated 4 & 9.",
Very Satisfied,Easy to use site.  Love Scholastic!,
Very Satisfied,"This is my first time utilizing the website for book purchase. Usually, we are only given a paper copy. Which it is very hard to to see and order from time to time. This has been a great experience and would highly recommend.    I do have a recommendation for some books that would be awesome Paul Goble's Native American books.     Thank you for the convenience of the online ordering.",
Very Satisfied,Wonderful RESOURCE for teachers!!,
Satisfied,"My child goes to school in Wellington, Texas and the code that was given to her was for her teacher but the address was in Silverton, Texas.",
Very Satisfied,The site is very easy to navigate. I appreciate the ease of submitting an order.,
Very Satisfied,I just signed up.  I am a new teacher.  I look forward to buying books for my classroom.,
Neutral,"Wish there was a bigger variety. Prices were more expensive than even B&N, unless I got a bundle.",
Neutral,"I am disappointed at the number of items that are only available to purchase with money. As a teacher who spend their own money to buy cleaning supplies and more, I had always looked to Scholastic for buying books as gifts and supplies with bonus points.  I feel Scholastic isn't recognizing the time it takes for teachers to do the work in promoting your business. I also was offended by the term ""inflation buster."" You should be giving deals with a message that is supporting Back to School and nothing that can be perceived as being political.",
Very Satisfied,I love Scholastic and how they give teachers so many chances to earn bonus points or money to spend immediately.,
Neutral,"It only wanted me to like the books, also the pages were uncooperative in turning and I sizing.  The book selection is not what I expected. I was looking for more Caldecott or Newberry award books.",
Neutral,Need to find out password. It is saved on my computer but not sure what it is.,
